sentence1,sentence2,condition,label
A person driving a motor bike through the sand on the beach flying a kite.,A beach scene with people in the water and a kite in the sky.,The number of people.,4
A person driving a motor bike through the sand on the beach flying a kite.,A beach scene with people in the water and a kite in the sky.,The activity of people.,2
Cat sitting on top of the refrigerator that is covered in notes and magnets.,A gray and white cat laying on it's back with it's head looking up in a open drawer.,The type of animal.,2
Cat sitting on top of the refrigerator that is covered in notes and magnets.,A gray and white cat laying on it's back with it's head looking up in a open drawer.,The animal's posture.,1
"The bedroom is decorated in modern style with hardwood floor, and painted walls with one having a contrasting color.",A living room with brown leather furniture and a fire place and a book shelf.,The building type.,4
"The bedroom is decorated in modern style with hardwood floor, and painted walls with one having a contrasting color.",A living room with brown leather furniture and a fire place and a book shelf.,The room type.,1
"There is a smile face on a plate made out of vitamins, banana and butter.",A bowl with a bunch of bananas and a couple of mangoes in it.,The type of dishware.,4
"There is a smile face on a plate made out of vitamins, banana and butter.",A bowl with a bunch of bananas and a couple of mangoes in it.,A monkey's favorite food.,4
A plate of food on a red plate with a fork digging into it.,"A slice of carrot cake on a plate with a fork, sits in front of the rest of the cake.",The location of the utensil.,3
A plate of food on a red plate with a fork digging into it.,"A slice of carrot cake on a plate with a fork, sits in front of the rest of the cake.",The utensils.,2
"A vegetarian pizza, a cutting wheel on a counter with a bowl of fruit.",a person cutting a cheese pizza into slices on a silver tray with a knife.,The name of dish.,5
"A vegetarian pizza, a cutting wheel on a counter with a bowl of fruit.",a person cutting a cheese pizza into slices on a silver tray with a knife.,The cutting product.,1
A white fridge in an old fashioned style is by a wall made of wood planks.,A refrigerator has magnets and papers and food on top of it in the corner of a yellow tiled kitchen,The location.,5
A white fridge in an old fashioned style is by a wall made of wood planks.,A refrigerator has magnets and papers and food on top of it in the corner of a yellow tiled kitchen,The appliance.,5
A downhill skier skis down the mountain with ski lifts running in the background.,A snowboarder in a red and gray suit flying down a slope covered in snow.,The setting.,5
A downhill skier skis down the mountain with ski lifts running in the background.,A snowboarder in a red and gray suit flying down a slope covered in snow.,The sport.,3
A giraffe bends over to nibble grass in a rock and lawn area at the zoo.,"A giraffe bows his head toward a thicket, as other animals graze in the distance.",The animal.,5
A giraffe bends over to nibble grass in a rock and lawn area at the zoo.,"A giraffe bows his head toward a thicket, as other animals graze in the distance.",The setting.,3
"A man is hunched over, standing on red earth, while wearing non-traditional tennis clothes, and grasping a racquet with both hands. ",A tennis player is walking on a clay surface with a racket in his hand.,The type of court.,5
"A man is hunched over, standing on red earth, while wearing non-traditional tennis clothes, and grasping a racquet with both hands. ",A tennis player is walking on a clay surface with a racket in his hand.,The speed of the person.,2
A light shines red as the sky is a greenish blue color in the background.,A traffic signal and some street lights with a little sun shining behind them.,The type of show.,3
A light shines red as the sky is a greenish blue color in the background.,A traffic signal and some street lights with a little sun shining behind them.,The name of the light.,2
The girl and the lady hold their game controllers and play with their Wii console.,Two woman playing with Wii remotes and a man in short shorts sitting in a chair watching.,The type of play.,5
The girl and the lady hold their game controllers and play with their Wii console.,Two woman playing with Wii remotes and a man in short shorts sitting in a chair watching.,The number of person.,1
A sandwich on a long roll and french fries are in an oblong plate.,"A sausage dog is seen coated with relishes, sauces, and on top of a brown bun.",The number of animal.,2
A sandwich on a long roll and french fries are in an oblong plate.,"A sausage dog is seen coated with relishes, sauces, and on top of a brown bun.",The type of food.,1
A bath tub sitting in a bathroom next to a toilet and a sink.,"This appears to be a small bathroom, with a blue rug and toilet cover.",The bathroom.,5
A bath tub sitting in a bathroom next to a toilet and a sink.,"This appears to be a small bathroom, with a blue rug and toilet cover.",The different toilet.,4
A desk has a black chair near it and a monitor and laptop on it.,a work space office with a desktop and chair and a blue file cabinet,The name of the product.,4
A desk has a black chair near it and a monitor and laptop on it.,a work space office with a desktop and chair and a blue file cabinet,The color of product.,4
A cluster of airplanes fly in a formation and leave a series on contrails.,Jets flying in the air with multi colored smoke coming out from behind them.,The color of smoke.,5
A cluster of airplanes fly in a formation and leave a series on contrails.,Jets flying in the air with multi colored smoke coming out from behind them.,The place are activity.,3
A bench with a satchel on it is at the bottom of a bed.,A bed room with white curtains surrounding the bed and a blue couch at the front of the room.,The bed with accessories.,5
A bench with a satchel on it is at the bottom of a bed.,A bed room with white curtains surrounding the bed and a blue couch at the front of the room.,The room with bed.,3
A herd of cattle grazing on a lush green hill next to the ocean.,Two cows in a grass field with a blue sky and clouds in the background.,The name of the animal.,5
A herd of cattle grazing on a lush green hill next to the ocean.,Two cows in a grass field with a blue sky and clouds in the background.,The name of the place.,4
A stuffed teddy bear in a water and soap filled sink with a rubber duck.,Two stuffed bears are lying on pillows; one of the bears is wearing a red suit.,The number of teddy bears.,4
A stuffed teddy bear in a water and soap filled sink with a rubber duck.,Two stuffed bears are lying on pillows; one of the bears is wearing a red suit.,The teddy bear.,3
a kitchen with a table by a window and a desk by a fridge,"A kitchen with nice wooden cabinets and flooring, but with one cabinet door missing.",The number of object.,3
a kitchen with a table by a window and a desk by a fridge,"A kitchen with nice wooden cabinets and flooring, but with one cabinet door missing.",The kitchen.,3
A room with a bed with white sheets and pattern wall paper design with a wall picture of two people on a beach.,A bedroom with a bed covered in a floral bedspread sits between a nightstand and a table.,The type of room.,4
A room with a bed with white sheets and pattern wall paper design with a wall picture of two people on a beach.,A bedroom with a bed covered in a floral bedspread sits between a nightstand and a table.,The living room of person.,4
Two different pictures with a child picking an item off a store shelf and then eating a doughnut.,A boy sitting at a table with a doughnut and a bottle of water.,The location of the child.,2
